Version 1.0,"Warning!  Calc Price displays a value when Size 1 and Size 2 (if applicable) are entered.  Make sure to read what Size1 and Size2 refer to in the comments field, fill out the appropriate size values before using calc price.",,,,,,,,,,,,,,,,,
19-May-25,Warning! Check Added/Modified Date to make sure you have the current costs.  Some errors were found in the hose clamp equations in the calc price cell.,,,,,,,,,,,,,,,,,
Fastener ID,Fastener,Size 1,Unit 1,Size 2,Unit 2,Category,Supplier,c1,c2,Table Price,System,Category,Calc Price,Attachment,DateAdded/Modified,Mass,Comments,
,"Steel Loop Straps, Rubber-Cushioned", 25.40 ,mm,,,Clamp,,0.65,0.65, [C1]*[Size1]+[C2] ,,Clamp, ₹  17.16 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,Galvanized Steel Loop Straps, 25.40 ,mm,,,Clamp,,0.13,5.20, [C1]*[Size1]+[C2] ,,Clamp, ₹  8.50 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,"Galvanized Steel Loop Straps, Rubber coated", 25.40 ,mm,,,Clamp,,0.26,5.20, [C1]*[Size1]+[C2] ,,Clamp, ₹  11.80 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,Metal fixed loop swivel snap, 25.40 ,mm,,,,,0.34,16.90, [C1]*[Size1]+[C2] ,,, ₹  25.65 ,,10-May-17,,[Size1]=width of strap (mm).  ,
,"Hose Clamp, Spring Steel", 25.40 ,mm,,,Clamp,,0.91,, [C1]*[Size1] ,,Clamp, ₹  23.11 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Constant Tension", 25.40 ,mm,,,Clamp,,8.00,169.00, [C1]*[Size1]+[C2] ,,Clamp, ₹  372.07 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Miniature Bolt", 25.40 ,mm,,,,,0.26,32.50, [C1]*[Size1]+[C2] ,,, ₹  39.10 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Single Wire", 6.35 ,mm,,,,,0.26,1.30, [C1]*[Size1]+[C2] ,,, ₹  2.95 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, V-Band Quick Release",  50.00 ,mm,,,,,7.67,679.90, [C1]*[Size1]+[C2] ,,," ₹  1,063.40 ",,10-May-17,,[Size1]=final clamped diameter [mm], 
,"Hose Clamp, Worm Drive", 25.40 ,mm,,,Clamp,,0.26,32.50, [C1]*[Size1]+[C2] ,,Clamp, ₹  39.10 ,,10-May-17,,[Size1]=final clamped diameter [mm],
,"Retaining Ring, R-ring", 6.00 ,mm,,,Retaining Ring,,0.01,0.85,[C1]*([Size1]^2)+[C2],,, ₹  1.27 ,,10-May-17,,[Size1]=shaft diameter [mm],
,"Retaining Ring, Internal", 6.00 ,mm,,,Retaining Ring,,0.01,0.85,[C1]*([Size1]^2)+[C2],,, ₹  1.27 ,,10-May-17,,[Size1]=shaft diameter [mm],
