"Materials Table.  Posted Version 1.0, 19-May-2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Added cost calculation,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
,"Bearing Ball, Steel",Any,Bearings,[C1]*[Size1]+[C2],mm,,0.195,3.25,0,,3.25,2017-05-10 00:00:00,"[Size1]=Ball diameter (mm).  Any steel materiAluminum  This material is for a single steel sphere ball, not a complete bearing."
,"Bearing, Ball, Angular Contact",Any,Bearings,[C1]*(([Size1]^2*[Size2]))^([C2]),mm,mm,6.5,32.5,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
,"Bearing, Ball, Deep Groove",Any,Bearings,[C1]*(([Size1]^2*[Size2]))^([C2]),mm,mm,6.5,32.5,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
,"Bearing, Ball, Radial",Any,Bearings,[C1]*(([Size1]^2*[Size2]))^([C2]),mm,mm,6.5,32.5,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
,"Bearing, Cylindrical Roller",Any,Bearings,[C1]*[Size1]*[Size2]+[C2],mm,mm,0.2925,234,0,0,234,2017-05-10 00:00:00,[Size1]=Outer Diameter (mm).  [Size2]=Length of bearing (mm).  Not for wheel bearing use.
,"Bearing, Double Row, Ball, Angular Contact",Any,Bearings,[C1]*(([Size1]^2*[Size2]))^([C2]),mm,mm,6.5,32.5,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
,"Bearing, Double Row, Ball, Deep Groove",Any,Bearings,[C1]*(([Size1]^2*[Size2]))^([C2]),mm,mm,6.5,32.5,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
,"Bearing, Double Row, Ball, Radial",Any,Bearings,[C1]*(([Size1]^2*[Size2]))^([C2]),mm,mm,6.5,32.5,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
,"Bearing, Linear, Closed",Any,Bearings,[C1]*[Size1]^2*[Size2]+[C2],mm,mm,0.0065,479.7,0,0,479.7,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Length (mm).  Use with end-supported shafts."
,"Bearing, Linear, Open",Any,Bearings,[C1]*[Size1]^2*[Size2]+[C2],mm,mm,0.0078,851.5,0,0,851.5,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Length (mm).  Use with continuously supported shafts or where access to shaft ends is not possible."
,"Bearing, Needle",Any,Bearings,[C1]*[Size1]*[Size2]+[C2],mm,mm,0.2925,234,0,0,234,2017-05-10 00:00:00,[Size1]=Outer Diameter (mm).  [Size2]=Length of bearing (mm).  Any style of needle bearing.  Not for wheel bearing use.
,"Bearing, Spherical",Any,Bearings,[C1]*[Size1]^2+[C2],mm,,1.95,325,0,,325,2017-05-10 00:00:00,[Size1]=bore size (diameter of hole in spherical bearing).
,"Bearing, Tapered Needle",Any,Bearings,[C1]*[Size1]*[Size2]+[C2],mm,mm,0.2925,679.25,0,0,679.25,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Cost includes outer ring, inner ring and roller assembly.   Not to be used for wheel bearings."
,"Bearing, Tapered Roller",Any,Bearings,[C1]*[Size1]*[Size2]+[C2],mm,mm,0.2925,679.25,0,0,679.25,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Cost includes outer ring, inner ring and roller assembly.   Not to be used for wheel bearings."
,"Bearing, Thrust Needle Roller, Cage Assembly",Any,Bearings,[C1]*[Size1]*[Size2]+[C2],mm,mm,1.3,9.75,0,0,9.75,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Cost includes cage assembly but no washers.   Not to be used for wheel bearings."
,"Bearing, Thrust Needle Roller, Washers",Any,Bearings,[C1]*[Size1]^2*[Size2]+[C2],mm,mm,0.0195,8.45,0,0,8.45,2017-05-10 00:00:00,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  For thrust bearings.   Not to be used for wheel bearings."
,"Bushing, Student Built",Student Built,Bearings,0,unit,,,,,,,2017-05-10 00:00:00,"Solid material (metal, plastic, etc.).  No moving elements (ball, needle, etc.)"
,"Rod End, Aluminum",Any,Bearings,[C1]*[Size1]^2+[C2],mm,,3.25,247,0,,247,2017-05-10 00:00:00,[Size1]=bore size (diameter of hole in spherical bearing).  Includes male/female and left/right threads.
,"Rod End, Industrial",Any,Bearings,[C1]*[Size1]^2+[C2],mm,,1.3,79.04,0,,79.04,2017-05-10 00:00:00,[Size1]=bore size (diameter of hole in spherical bearing).  Includes male/female and left/right threads.
,"Rod End, Precison (Aircraft)",Any,Bearings,[C1]*[Size1]^2+[C2],mm,,3.25,325,0,,325,2017-05-10 00:00:00,[Size1]=bore size (diameter of hole in spherical bearing).  Includes male/female and left/right threads.
