"Process Table.  Posted Version 1, 19-May-25",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Process ID,Process,Unit Cost,Unit,Category,Tooling Required,Near Net Shape,Multiplier Type Used,Modified,Comments
,,0,,,,,,2017-05-10 00:00:00,
,Die Casting,260,kg,Basic Forming,Yes,Yes,,2017-05-10 00:00:00,
,Investment Casting,520,kg,Basic Forming,,Yes,,2017-05-10 00:00:00,
,Plastic injection molding,178.75,kg,Basic Forming,Yes,Yes,,2017-05-10 00:00:00,
,Powder Metal Forming,195,kg,Basic Forming,Yes,Yes,,2017-05-10 00:00:00,
,Rapid Prototype - Metal,21450,kg,Basic Forming,,Yes,,2017-05-10 00:00:00,Updated terminology for clarity
,Rapid Prototype - Plastic,2080,kg,Basic Forming,,Yes,,2017-05-10 00:00:00,Updated terminology for clarity
,Sand Casting,195,kg,Basic Forming,Yes,,,2017-05-10 00:00:00,
,Vacuum Form,650,m^2,Basic Forming,Yes,,,2017-05-10 00:00:00,
,Exhaust System Ceramic Coating,1625,m,Coating,,,,2017-05-10 00:00:00,"Linear distance of coating on exhaust header and tubing including all runners, etc.  Material included."
,"Cure, Autoclave",3250,m^2,Composite,Yes,,,2017-05-10 00:00:00,Includes all consumable materials and labor.
,"Cure, Oven",1300,m^2,Composite,Yes,,,2017-05-10 00:00:00,Includes all consumable materials and labor.
,"Cure, Room Temperature",650,m^2,Composite,Yes,,,2017-05-10 00:00:00,Includes all consumable materials and labor.
,"Lamination, Fillament Winding",1625,kg,Composite,,,,2017-05-10 00:00:00,Cost based on finished part mass of composite fibers and resin.
,"Lamination, Manual",2275,m^2,Composite,,,,2017-05-10 00:00:00,
,Potting,32.5,cm,Composite,,,,2017-05-10 00:00:00,Cost based on perimeter of insert.  Includes potting compund material cost
,"Resin application, Infusion Molding",162.5,m^2,Composite,,,,2017-05-10 00:00:00,
,"Resin application, Manual",325,m^2,Composite,,,,2017-05-10 00:00:00,If prepreg composites are used do not included the resin application step.
,"Attach Wire, Fork",16.25,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Quick connect terminal",6.77,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Ring",31.15,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Solder wire, bent",23.02,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Solder wire, not bent",33.85,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Terminated wire with screw",23.02,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Terminated wire with screw and nut",33.85,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Wire to screw",31.15,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Wire to screw with nut",41.98,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Wire to terminal block",23.02,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Attach Wire, Wire wrap around terminal post",17.6,unit,Electrical - Attach Wires,,,,2017-05-10 00:00:00,
,"Install Tie Wrap (Zip Tie, Cable Clamp)",6.09,unit,Electrical - Bundle Install,,,,2017-05-10 00:00:00,
,Wire Dressing (Install and route),65,m,Electrical - Bundle Install,,,,2017-05-10 00:00:00,
,Insert Bundle Into Tube or Sleeve,1.3,m,Electrical - Bundle Processing,,,,2017-05-10 00:00:00,
